,remain_iter,pie_delta,loglik_delta,alpha_l2norm_delta,loglik,alpha_sum
83,1917,0.0,61.098177,14.030146,-2311357.669425,27339.538383
84,1916,0.0,61.166404,13.901356,-2311418.835829,27552.533928
85,1915,0.0,61.22317,13.774667,-2311480.058999,27763.60799
86,1914,0.0,61.269248,13.650026,-2311541.328247,27972.791108
87,1913,0.0,61.305358,13.527381,-2311602.633605,28180.113061
88,1912,0.0,61.332167,13.40668,-2311663.965773,28385.60289
89,1911,0.0,61.350297,13.287876,-2311725.316069,28589.28893
90,1910,0.0,61.360324,13.170922,-2311786.676393,28791.198829
91,1909,0.0,61.362787,13.055771,-2311848.03918,28991.359571
92,1908,0.0,61.358187,12.942381,-2311909.397367,29189.797498
93,1907,0.0,61.346992,12.830709,-2311970.744359,29386.53833
94,1906,0.0,61.329638,12.720714,-2312032.073997,29581.607186
95,1905,0.0,61.306531,12.612356,-2312093.380528,29775.028606
96,1904,0.0,61.278052,12.505597,-2312154.65858,29966.826562
97,1903,0.0,61.244556,12.4004,-2312215.903137,30157.024481
98,1902,0.0,61.206375,12.296729,-2312277.109512,30345.645263
99,1901,0.0,61.16382,12.19455,-2312338.273332,30532.711294
100,1900,0.0,61.117181,12.093828,-2312399.390513,30718.244463
101,1899,0.0,61.066731,11.99453,-2312460.457244,30902.266177
102,1898,0.0,61.012724,11.896626,-2312521.469968,31084.797375
103,1897,0.0,60.955399,11.800085,-2312582.425367,31265.858544
104,1896,0.0,60.894982,11.704876,-2312643.320349,31445.46973
105,1895,0.0,60.831681,11.610972,-2312704.15203,31623.650553
106,1894,0.0,60.765694,11.518343,-2312764.917724,31800.420219
107,1893,0.0,60.697207,11.426963,-2312825.614931,31975.797528
108,1892,0.0,60.626392,11.336806,-2312886.241323,32149.800894
109,1891,0.0,60.553414,11.247845,-2312946.794736,32322.448348
110,1890,0.0,60.478425,11.160056,-2313007.273161,32493.757552
111,1889,0.0,60.401571,11.073416,-2313067.674732,32663.745812
112,1888,0.0,60.322986,10.987899,-2313127.997719,32832.430084
113,1887,0.0,60.242799,10.903485,-2313188.240518,32999.826984
114,1886,0.0,60.161129,10.820149,-2313248.401647,33165.9528
115,1885,0.0,60.07809,10.737872,-2313308.479737,33330.823498
116,1884,0.0,59.993788,10.656632,-2313368.473525,33494.454734
117,1883,0.0,59.908322,10.576408,-2313428.381847,33656.86186
118,1882,0.0,59.821788,10.497181,-2313488.203634,33818.05993
119,1881,0.0,59.734273,10.418931,-2313547.937908,33978.063715
120,1880,0.0,59.645863,10.34164,-2313607.58377,34136.887703
121,1879,0.0,59.556635,10.26529,-2313667.140405,34294.546109
122,1878,0.0,59.466664,10.189862,-2313726.60707,34451.052884
123,1877,0.0,59.376021,10.11534,-2313785.98309,34606.421721
124,1876,0.0,59.28477,10.041706,-2313845.26786,34760.666057
125,1875,0.0,59.192975,9.968944,-2313904.460836,34913.799089
126,1874,0.0,59.100695,9.897038,-2313963.56153,35065.833769
127,1873,0.0,59.007983,9.825972,-2314022.569513,35216.782819
128,1872,0.0,58.914894,9.755732,-2314081.484408,35366.658732
129,1871,0.0,57.259846,9.686302,-2314138.744253,35515.47378
130,1870,0.0,56.654354,9.617668,-2314195.398607,35663.240017
131,1869,0.0,56.564202,9.549815,-2314251.962809,35809.969286
132,1868,0.0,56.473812,9.482731,-2314308.436621,35955.673225
133,1867,0.0,56.383224,9.416401,-2314364.819845,36100.36327
134,1866,0.0,56.292475,9.350812,-2314421.112319,36244.050659
135,1865,0.0,56.201601,9.285953,-2314477.31392,36386.746441
136,1864,0.0,56.110635,9.221809,-2314533.424555,36528.461476
137,1863,0.0,56.019608,9.15837,-2314589.444163,36669.206442
138,1862,0.0,55.928552,9.095623,-2314645.372715,36808.991837
139,1861,0.0,55.837492,9.033556,-2314701.210207,36947.827988
140,1860,0.0,55.746456,8.972158,-2314756.956663,37085.725046
141,1859,0.0,55.65547,8.911418,-2314812.612133,37222.693001
142,1858,0.0,55.564555,8.851326,-2314868.176688,37358.741677
143,1857,0.0,54.805394,8.79187,-2314922.982082,37493.880739
144,1856,0.0,53.572727,8.733041,-2314976.554809,37628.119698
145,1855,0.0,53.485433,8.674828,-2315030.040242,37761.467911
146,1854,0.0,53.398259,8.617221,-2315083.438501,37893.934589
147,1853,0.0,53.311225,8.560211,-2315136.749726,38025.528794
148,1852,0.0,53.224348,8.503788,-2315189.974074,38156.259449
149,1851,0.0,53.137643,8.447943,-2315243.111717,38286.135336
150,1850,0.0,53.051125,8.392667,-2315296.162842,38415.1651
151,1849,0.0,52.964809,8.33795,-2315349.127651,38543.357256
152,1848,0.0,52.878708,8.283786,-2315402.006359,38670.720185
153,1847,0.0,52.054832,8.230164,-2315454.061191,38797.262143
154,1846,0.0,51.046027,8.177077,-2315505.107218,38922.991259
155,1845,0.0,50.963616,8.124516,-2315556.070834,39047.915541
156,1844,0.0,50.881438,8.072474,-2315606.952272,39172.042877
157,1843,0.0,50.799503,8.020943,-2315657.751774,39295.381037
158,1842,0.0,50.71782,7.969915,-2315708.469595,39417.937677
159,1841,0.0,50.6364,7.919383,-2315759.105995,39539.72034
160,1840,0.0,50.55525,7.869339,-2315809.661244,39660.736458
161,1839,0.0,50.474377,7.819776,-2315860.135622,39780.993356
162,1838,0.0,50.39379,7.770688,-2315910.529412,39900.498254
163,1837,0.0,50.313496,7.722067,-2315960.842907,40019.258266
164,1836,0.0,50.2335,7.673907,-2316011.076407,40137.280405
165,1835,0.0,50.153809,7.6262,-2316061.230216,40254.571586
166,1834,0.0,50.074428,7.578942,-2316111.304644,40371.138625
167,1833,0.0,49.995363,7.532124,-2316161.300008,40486.988241
168,1832,0.0,49.916619,7.485742,-2316211.216626,40602.127061
169,1831,0.0,49.838199,7.439788,-2316261.054825,40716.561619
170,1830,0.0,49.760109,7.394257,-2316310.814934,40830.29836
171,1829,0.0,49.682352,7.349144,-2316360.497286,40943.343638
172,1828,0.0,49.604931,7.304442,-2316410.102217,41055.703721
173,1827,0.0,49.52785,7.260145,-2316459.630067,41167.384793
174,1826,0.0,49.451112,7.216249,-2316509.08118,41278.392953
175,1825,0.0,49.37472,7.172748,-2316558.455899,41388.734217
176,1824,0.0,49.298676,7.129636,-2316607.754575,41498.414524
177,1823,0.0,49.222982,7.086908,-2316656.977557,41607.439729
178,1822,0.0,49.14764,7.044559,-2316706.125197,41715.815614
179,1821,0.0,49.072653,7.002584,-2316755.197851,41823.547881
180,1820,0.0,48.998022,6.960979,-2316804.195872,41930.642159
181,1819,0.0,48.923748,6.919737,-2316853.11962,42037.104005
182,1818,0.0,48.849832,6.878855,-2316901.969452,42142.9389
183,1817,0.0,48.776277,6.838328,-2316950.745729,42248.152257
184,1816,0.0,48.703081,6.798151,-2316999.44881,42352.74942
185,1815,0.0,48.630247,6.75832,-2317048.079058,42456.735662
186,1814,0.0,24.821678,6.71883,-2317072.900735,42560.11619
187,1813,0.0,2.112448,6.679677,-2317075.013183,42662.896147
188,1812,0.0,2.121051,6.640856,-2317077.134234,42765.080607
189,1811,0.0,2.129374,6.602364,-2317079.263608,42866.674586
190,1810,0.0,2.137425,6.564197,-2317081.401032,42967.683031
191,1809,0.0,2.145211,6.526349,-2317083.546244,43068.110833
192,1808,0.0,2.152741,6.488818,-2317085.698984,43167.962819
193,1807,0.0,2.16002,6.4516,-2317087.859004,43267.243759
194,1806,0.0,2.167057,6.414689,-2317090.026061,43365.958362
195,1805,0.0,2.173857,6.378084,-2317092.199918,43464.111283
196,1804,0.0,2.180428,6.341779,-2317094.380346,43561.707117
197,1803,0.0,2.186775,6.305772,-2317096.567121,43658.750406
198,1802,0.0,2.192905,6.270059,-2317098.760025,43755.245636
199,1801,0.0,2.198823,6.234636,-2317100.958849,43851.19724
200,1800,0.0,2.204536,6.199499,-2317103.163385,43946.609599
201,1799,0.0,2.210049,6.164646,-2317105.373434,44041.48704
202,1798,0.0,2.215368,6.130073,-2317107.588802,44135.833841
203,1797,0.0,2.220497,6.095776,-2317109.809299,44229.654228
204,1796,0.0,2.225442,6.061753,-2317112.034741,44322.952379
205,1795,0.0,2.230208,6.028,-2317114.264949,44415.732422
206,1794,0.0,2.234799,5.994515,-2317116.499748,44507.99844
207,1793,0.0,2.239221,5.961293,-2317118.73897,44599.754465
208,1792,0.0,2.243478,5.928332,-2317120.982447,44691.004485
209,1791,0.0,2.247574,5.895629,-2317123.230021,44781.752443
210,1790,0.0,2.251513,5.86318,-2317125.481534,44872.002234
211,1789,0.0,2.2553,5.830984,-2317127.736834,44961.757713
212,1788,0.0,2.258939,5.799037,-2317129.995772,45051.022689
213,1787,0.0,2.262433,5.767337,-2317132.258205,45139.800928
214,1786,0.0,2.265787,5.73588,-2317134.523992,45228.096154
215,1785,0.0,2.269004,5.704664,-2317136.792996,45315.912051
216,1784,0.0,2.272087,5.673686,-2317139.065083,45403.252261
217,1783,0.0,2.275041,5.642944,-2317141.340124,45490.120386
218,1782,0.0,2.277869,5.612434,-2317143.617993,45576.519988
219,1781,0.0,2.280574,5.582155,-2317145.898567,45662.45459
220,1780,0.0,2.283158,5.552104,-2317148.181725,45747.927677
221,1779,0.0,2.285626,5.522278,-2317150.467352,45832.942696
222,1778,0.0,2.287981,5.492675,-2317152.755333,45917.503057
223,1777,0.0,2.290224,5.463292,-2317155.045557,46001.612132
224,1776,0.0,2.29236,5.434128,-2317157.337917,46085.273258
225,1775,0.0,2.294391,5.405179,-2317159.632309,46168.489737
226,1774,0.0,2.29632,5.376444,-2317161.928628,46251.264834
227,1773,0.0,2.298149,5.34792,-2317164.226777,46333.601781
228,1772,0.0,2.29988,5.319605,-2317166.526657,46415.503774
229,1771,0.0,2.301518,5.291497,-2317168.828175,46496.973977
230,1770,0.0,2.303063,5.263593,-2317171.131238,46578.015522
231,1769,0.0,2.304518,5.235892,-2317173.435756,46658.631505
232,1768,0.0,2.305886,5.208391,-2317175.741642,46738.824992
233,1767,0.0,2.307169,5.181088,-2317178.04881,46818.599017
234,1766,0.0,2.308368,5.153981,-2317180.357178,46897.956583
235,1765,0.0,2.309487,5.127069,-2317182.666665,46976.900661
236,1764,0.0,2.310527,5.100348,-2317184.977192,47055.434193
237,1763,0.0,2.31149,5.073818,-2317187.288682,47133.56009
238,1762,0.0,2.312378,5.047476,-2317189.60106,47211.281234
239,1761,0.0,1.201227,5.02132,-2317190.802288,47288.600477
240,1760,0.0,0.466602,4.995349,-2317191.268889,47365.520644
241,1759,0.0,0.470307,4.96956,-2317191.739196,47442.04453
242,1758,0.0,0.473925,4.943952,-2317192.213121,47518.174903
243,1757,0.0,0.477457,4.918523,-2317192.690579,47593.914502
244,1756,0.0,0.480906,4.893272,-2317193.171484,47669.266042
245,1755,0.0,0.484272,4.868195,-2317193.655757,47744.232207
246,1754,0.0,0.487558,4.843292,-2317194.143315,47818.815657
247,1753,0.0,0.490766,4.818562,-2317194.634081,47893.019027
248,1752,0.0,0.493897,4.794001,-2317195.127979,47966.844923
249,1751,0.0,0.496953,4.769609,-2317195.624932,48040.295928
250,1750,0.0,0.499936,4.745384,-2317196.124868,48113.374599
251,1749,0.0,0.502846,4.721324,-2317196.627714,48186.08347
252,1748,0.0,0.505686,4.697428,-2317197.1334,48258.425047
253,1747,0.0,0.508458,4.673694,-2317197.641858,48330.401815
254,1746,0.0,0.511162,4.650121,-2317198.15302,48402.016235
255,1745,0.0,0.5138,4.626707,-2317198.66682,48473.270743
256,1744,0.0,0.516373,4.60345,-2317199.183193,48544.167753
257,1743,0.0,0.518883,4.580349,-2317199.702076,48614.709656
258,1742,0.0,0.521332,4.557403,-2317200.223408,48684.89882
