,Homo-naive,Homo-activated
Pacs1,2.1216681140022278,0.7049055301984487
Sf3b2,16.479822235362178,13.921338139479477
Gm50203,1e-323,0.044724527863001115
Gal3st3,1e-323,1e-323
Gm42064,1e-323,1e-323
Cst6,1e-323,0.044724527863001115
Banf1,9.469155014951058,17.085748037038453
Eif1ad,3.07211949570047,6.839276132356734
Sart1,4.430342619946243,3.4185738113646083
D330050I16Rik,0.40961593276006275,0.2683471671780067
Tsga10ip,0.20480796638003138,1e-323
4930481A15Rik,1.0240398319001567,1e-323
Drap1,10.628622549223925,10.209093562687459
AI837181,2.7583202062125682,1.1698390836185657
Fosl1,1e-323,0.7284603065446957
Ccdc85b,6.505014136593698,2.8240526207953125
Fibp,2.0480796638003134,1.8926391522352686
Ctsw,1e-323,0.13417358358900333
Efemp2,1e-323,1e-323
Mus81,0.40961593276006275,0.7473855251971686
Cfl1,37.81932619626402,40.93953624688731
Snx32,1.0267387950014468,0.044724527863001115
1700020D05Rik,1e-323,1e-323
Ovol1,1e-323,0.044724527863001115
Ap5b1,1e-323,0.044724527863001115
Rnaseh2c,3.8061215465245937,4.45858593523883
Kat5,0.8192318655201255,1.282088094673196
Rela,3.07211949570047,3.4616292402442435
Sipa1,3.178905492372307,0.8836645307081165
Pcnx3,0.8192318655201255,0.5074688361977442
Map3k11,1.0240398319001567,0.5074688361977441
Gm50315,1e-323,1e-323
Kcnk7,1e-323,0.04889418913769773
Ehbp1l1,0.6144238991400942,0.33218258220663277
Fam89b,3.1789054923723072,0.6617646670564762
Znrd2,1.638463731040251,6.542628548499926
Ltbp3,1e-323,1e-323
Scyl1,0.8192318655201255,0.8460358607908235
Malat1,1803.3765075756123,251.98256445987496
Neat1,6.081290510380291,0.7402940142409029
Frmd8os,1e-323,1e-323
Frmd8,4.563324053299704,1.0802935164595298
Slc25a45,1.0240398319001567,0.044724527863001115
Tigd3,1e-323,1e-323
Dpf2,2.457695596560377,1.997310610467017
Gm42067,1e-323,0.2236226393150056
Cdc42ep2,0.20480796638003138,1e-323
Pola2,1.0240398319001567,0.8834166565689845
Capn1,1.0240398319001567,1.3218068089375756
Gm10814,1e-323,1e-323
Syvn1,0.20480796638003138,0.7373663734473507
Mrpl49,1.843271697420282,2.4391104000480563
Fau,644.9099882172887,283.69605859124374
Znhit2,1.2517421168708742,0.8274096275454701
Tm7sf2,0.20480796638003138,0.08944905572600223
Vps51,0.40961593276006275,0.5226741225951009
Tmem262,1e-323,1e-323
Zfpl1,1.4336557646602197,1.030691957674013
Cdca5,1e-323,1e-323
Gm550,1e-323,1e-323
Naaladl1,1e-323,1e-323
Sac3d1,1.0240398319001567,2.054853789902816
Snx15,1.638463731040251,1.1260691786262145
Arl2,1.0240398319001567,1.1928561930536183
Batf2,1e-323,1e-323
Majin,1e-323,1e-323
Ppp2r5b,1e-323,0.17889811145200446
Atg2a,1.843271697420282,0.2683471671780067
Gm14963,1e-323,1e-323
Ehd1,0.6144238991400942,1.7339689786787615
Cdc42bpg,1e-323,0.044724527863001115
Men1,1.0267387950014468,0.28836801560314945
Map4k2,3.504676899825184,0.8408906333451546
Gm14966,1e-323,1e-323
Sf1,7.06847456179133,5.242918661084279
Pygm,0.20480796638003138,0.044724527863001115
Rasgrp2,6.213120917326461,0.2236226393150056
Gm14965,1e-323,1e-323
Nrxn2,1e-323,1e-323
Gm14964,1e-323,1e-323
CAAA01066123.1,1e-323,1e-323
Rps6ka4,1e-323,0.13417358358900333
Ccdc88b,2.1216681140022278,1.5104992087223825
Prdx5,6.708319041397044,6.733049908316255
Trmt112,9.140779195132662,8.487275570283478
Esrra,0.795960449896586,0.8864113183446525
Catsperz,1e-323,1e-323
Kcnk4,1e-323,1e-323
